Started At,Completed At,Completion Status,Device Type,Browser,Utm Source,Utm Medium,Utm Campaign,Utm Content,Mkt Tok,1. What professional role(s) do you play?,,,,,,,,,,,2. Which most accurately describes your role?,3. How many years of experience do you have?,4. What is the size of your current company?,5. What type of company do you work for?,,,,,,6. In which country do you live?,,,7. Which word best describes the area where you live and work?,8. What is your education level?,"9. If you have a degree, did you study a technology-related field?",10. What is your age range?,11. Do you identify as having a disability as defined under the Americans with Disabilities Act?,,,,,,,,,,,,,,,,"12. Do you identify as a ""person of color""?",13. With which racial background(s) do you identify?,,,,,,,,14. Do you identify with any of the following?,,,,,,,,15. Do you consider yourself to be transgender/gender non-conforming?,16. What is your primary gender identity today?,"17. Do you practice, worship, or observe a particular religion?","18. Thinking about your childhood, which socio-economic class did you identify with?","19. Thinking about your current situation, which socio-economic class do you identify with?",20. Which of the following languages do you use in the workplace?,,,,,,,,,,"21. At work, I feel comfortable expressing the aspects of my identity that are important to me.","22. At work, it's important to me that I feel comfortable expressing my identity.",23. Encouraging people to express any/all aspects of their identities benefits my company.,"24. What else do you identify with? Call out anything we've missed that makes you, well, you!",25. How likely are you to recommend the Diversity of the Web survey to a friend or colleague?
2016-10-20 15:31:53 -0700,2016-10-20 15:36:28 -0700,completed,ios,iPad 0.0,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,,,,,,,,,My role does not involve leadership or management,20+,200+ employees,,,,Non-agency organization,,,GB,,,Urban,Completed college,Yes,55-64,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Lower middle class,Lower middle class,English,,,,,,,,,,Agree,Neutral,Neutral,,4
2016-10-20 15:32:02 -0700,2016-10-20 15:46:51 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,,,,,,,,,My role does not involve leadership or management,2 - 5,200+ employees,,,,,,Healthcare organization,US,,,Urban,Completed master's degree,Yes,25-34,,,,,,No,,,,,,,,,,,Yes,,,,,,,,South Asian,,,,,,,Prefer not to answer,,No,Male,Yes,Lower middle class,Lower middle class,English,,,,,,,,,,Agree,Strongly agree,Agree,,9
2016-10-20 15:32:10 -0700,2016-10-20 15:35:53 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,,,,Technical/Solutions Architect,,,,,,,,I am a formal manager,2 - 5,20 - 50 employees,,,,,,Nonprofit,US,,,Urban,Completed college,No,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Lower middle class,Lower middle class,English,,,,,,,,,,Agree,Neutral,Agree,,5
2016-10-20 16:04:01 -0700,2016-10-20 16:30:36 -0700,completed,android,Chrome 53.0.2785.124,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,,,,,,Web accessibility specialist,,,My role does not involve leadership or management,6 - 10,10 - 20 employees,Web Agency / Development Shop,,,,,,GB,,,Urban,Postgraduate diploma,,35-44,"Yes, Cognitive",,,,,,,,,,,,,,,,No,,,,,,White,,,,,,,,,,Heterosexual. I don't like the term straight.,No,Male,"Yes, and I identify as a religious minority",Lower middle class,Working class,English,,,,,,,,,,Agree,Neutral,Agree,"The class questions were mandatory, but did not offer ""other"" or ""prefer not to say"". They were difficult to answer as I just don't identify with any of the options presented.

The term straight is irksome. It's a heterophobic slur, albeit a mild one. (I've heard worse.)",6
2016-10-20 16:33:52 -0700,2016-10-20 16:36:56 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,t.co,tr.im/diversity,link_click,,,,,Technical/Solutions Architect,,,,,,,,I am a formal manager,20+,10 - 20 employees,Web Agency / Development Shop,,,,,,GB,,,Urban,Completed university batchelor's degree,,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,,,,,,,,,Agree,Agree,Agree,,5
2016-10-20 18:25:33 -0700,2016-10-20 18:29:38 -0700,completed,android,Chrome 54.0.2840.68,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,Technical/Solutions Architect,Technical Lead,,QA/Testing,Product Manager/Owner,Exec,,,"I am not a manager, though I do hold a leadership role",11 - 15,Under 10 employees,Web Agency / Development Shop,,,,,,GB,,,Suburban,Some college/technical training,,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,,,,,,,,German,Agree,Neutral,Neutral,Atheist,9
2016-10-21 00:16:56 -0700,2016-10-21 00:20:46 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,,Technical Lead,,,,,,,My role does not involve leadership or management,6 - 10,Under 10 employees,Web Agency / Development Shop,,,,,,BE,,,Urban,Some high school,,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Working class,Lower middle class,English,French,,,,,,,,Dutch,Agree,Strongly agree,Neutral,,5
2016-10-21 06:02:03 -0700,2016-10-21 06:06:08 -0700,completed,android,Chrome 53.0.2785.124,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,,,,,,,,,My role does not involve leadership or management,11 - 15,Under 10 employees,Web Agency / Development Shop,,,,,,FR,,,Urban,Completed college,Yes,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Working class,Lower middle class,English,French,,,,,,,,,Disagree,Neutral,Agree,Some unusual interests,10
2016-10-21 06:40:30 -0700,2016-10-21 06:43:37 -0700,completed,ios,iPhone 0.0,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,Technical/Solutions Architect,Technical Lead,,,Product Manager/Owner,,,,"I am not a manager, though I do hold a leadership role",11 - 15,100 - 200 employees,,,,,,Product company ,US,,,Urban,Some college/technical training,,25-34,,"Yes, Emotional",,,,,,,,,,,,,,,Yes,,Black,Latino,,,,,,,,,,Queer,,,,No,Female,No,Working class,Upper middle class,English,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Femme feminist Dominica Sudanese Afro Caribbean,9
2016-10-21 06:54:26 -0700,2016-10-21 07:02:03 -0700,completed,mac,Chrome 53.0.2785.116,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,,,,,,,,,My role does not involve leadership or management,6 - 10,200+ employees,,Digital Agency,,,,,US,,,Urban,Completed college,No,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,Bisexual,,,Queer,,,,Yes,Trans FtM,No,Upper middle class,Lower middle class,English,,,,,,,,,,Agree,Neutral,Strongly agree,,10
2016-10-21 07:00:18 -0700,2016-10-21 07:03:00 -0700,completed,ios,iPhone 0.0,tr.im,t.co,tr.im/diversity,link_click,,,Designer,,,,,,,"Teacher, inventor ",,,"I am not a manager, though I do hold a leadership role",20+,200+ employees,,,,Non-agency organization,,,US,,,Urban,Completed Ph.D,No,45-54,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,Bisexual,,Lesbian,Queer,,,,No,Female,No,Lower middle class,Upper middle class,English,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,5
2016-10-21 07:06:26 -0700,2016-10-21 07:08:54 -0700,completed,ios,iPhone 0.0,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,,,,,,,,,My role does not involve leadership or management,0 - 1,20 - 50 employees,Web Agency / Development Shop,,,,,,RU,,,Urban,Some college/technical training,,16-24,,,,,,,Prefer not to answer,,,,,,,,,,No,,,,,,White,,,,Bisexual,,,,,,,No,Female,No,Lower middle class,Lower middle class,English,,,,,,,,,Rissian,Disagree,Neutral,Strongly agree,,5
2016-10-21 10:12:52 -0700,2016-10-21 15:42:37 -0700,completed,mac,Safari 10.0,tr.im,t.co,tr.im/diversity,link_click,,,,,,,Content Developer/Strategist,,,,,,I am a formal manager,6 - 10,200+ employees,,,,Non-agency organization,,,US,,,Urban,Completed college,No,25-34,,,,,,No,,,,,,,,,,,Yes,,Black,,,,,,,,,,,,Straight,,,No,Male,No,Lower middle class,Lower middle class,English,,,,,,,,,,Agree,Strongly agree,Strongly agree,,10
2016-10-21 10:16:28 -0700,2016-10-21 10:19:42 -0700,completed,ios,iPad 10.0,tr.im,no_referer,tr.im/diversity,direct_input,,,Designer,UX/UI,,,,,,,,,My role does not involve leadership or management,11 - 15,200+ employees,,,,Non-agency organization,,,US,,,Suburban,Completed college,Yes,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,Yes,Lower middle class,Lower middle class,English,,,,,,,,,,Agree,Agree,Strongly agree,,9
2016-10-21 10:46:15 -0700,2016-10-21 11:35:43 -0700,completed,windows,Chrome 54.0.2840.59,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,,,,,,,,,My role does not involve leadership or management,6 - 10,Under 10 employees,,,,,Freelancer,,US,,,Suburban,Completed college,Yes,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,"Yes, and I identify as a religious minority",Lower middle class,Lower middle class,English,,,,,,,,,,Agree,Agree,Neutral,,5
2016-10-21 14:44:31 -0700,2016-10-21 14:48:26 -0700,completed,linux,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,Technical/Solutions Architect,Technical Lead,,QA/Testing,Product Manager/Owner,,,,"I am not a manager, though I do hold a leadership role",11 - 15,20 - 50 employees,Web Agency / Development Shop,,,,,,CA,,,Urban,Completed college,Yes,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,10
2016-10-21 14:44:54 -0700,2016-10-21 14:58:10 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,,Technical Lead,,,,,,,"I am not a manager, though I do hold a leadership role",6 - 10,100 - 200 employees,Web Agency / Development Shop,Digital Agency,,,,,US,,,Urban,Completed college,Yes,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,,,,,,,,,Agree,Agree,Strongly agree,,10
2016-10-21 14:44:58 -0700,2016-10-21 14:49:52 -0700,completed,mac,Chrome 52.0.2743.116,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,Technical/Solutions Architect,Technical Lead,,,Product Manager/Owner,,,,I am a formal manager,6 - 10,20 - 50 employees,Web Agency / Development Shop,Digital Agency,,,,,US,,,Urban,Completed college,No,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Female,No,Lower middle class,Upper middle class,English,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Introvert. Suffering depression.,9
2016-10-21 14:45:09 -0700,2016-10-21 15:25:02 -0700,completed,windows,Chrome 53.0.2785.143,,,,,,Developer,,UX/UI,Technical/Solutions Architect,Technical Lead,,,,,,,My role does not involve leadership or management,11 - 15,200+ employees,,,,,,International technology corporation,US,,,Suburban,Completed college,No,35-44,,,,,,No,,,,,,,,,,,No,,,,,,,,Middle Eastern,,,,,,Straight,,,No,Male,"Yes, and I identify as a religious minority",Upper middle class,Lower middle class,English,,,,,,,,,,Agree,Neutral,Agree,"I'm a happy Windows user in the open source world. Very awkward when I go to open source, macbook-filled conferences/gatherings. I get weird looks and called out on it almost every time.",8
2016-10-21 14:45:18 -0700,2016-10-21 14:50:27 -0700,completed,windows,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,Technical/Solutions Architect,Technical Lead,,QA/Testing,,,,,I am a formal manager,16 - 20,200+ employees,,,,Non-agency organization,,,US,,,Urban,Completed college,Yes,45-54,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Lower middle class,Lower middle class,English,,,,,,,,,,Disagree,Neutral,Strongly agree,"artist, naturalist, intellectual, liberal (would be interested to have some info on ideolog",6
2016-10-21 14:45:26 -0700,2016-10-21 14:48:21 -0700,completed,linux,Chrome 54.0.2840.71,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,Technical/Solutions Architect,,,,,,,,My role does not involve leadership or management,6 - 10,Under 10 employees,Web Agency / Development Shop,,,,,,US,,,Suburban,Completed college,Yes,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Working class,Lower middle class,English,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,6
2016-10-21 14:45:28 -0700,2016-10-21 14:50:00 -0700,completed,ios,iPhone 10.0,tr.im,no_referer,tr.im/diversity,direct_input,,,,,Technical/Solutions Architect,,,,,,,,"I am not a manager, though I do hold a leadership role",11 - 15,200+ employees,,,,Non-agency organization,,,US,,,Urban,Completed college,No,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Female,No,Upper middle class,Upper class,English,,,,,,,,,,Neutral,Agree,Agree,I'm a parent.,7
2016-10-21 15:44:25 -0700,2016-10-21 15:47:25 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,,,,,,,,,My role does not involve leadership or management,16 - 20,200+ employees,,,,Non-agency organization,,,US,,,Urban,Completed college,No,45-54,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,Gay,Lesbian,Queer,,,,No,Female,Yes,Upper middle class,Upper middle class,English,,,,,,,,,,Neutral,Neutral,Agree,,10
2016-10-21 16:27:58 -0700,2016-10-21 16:30:53 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,,Designer,UX/UI,,,,,,,,,My role does not involve leadership or management,0 - 1,Under 10 employees,,,,,Freelancer,,US,,,Rural,Completed college,No,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Female,No,Lower middle class,Lower middle class,English,French,,,,,,,,,Strongly agree,Agree,Agree,Math majors unite! :),5
2016-10-21 17:48:07 -0700,2016-10-21 17:51:02 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,t.co,tr.im/diversity,link_click,,Developer,,UX/UI,Technical/Solutions Architect,,,,Product Manager/Owner,,,,I am a formal manager,16 - 20,Under 10 employees,,,,Non-agency organization,,,GB,,,Urban,Completed college,No,35-44,,,,"Yes, Physical",,,,,,,,,,,,,No,,,,,,White,,,,Bisexual,,,,,,,No,Female,No,Lower middle class,Lower middle class,English,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,6
2016-10-21 18:57:35 -0700,2016-10-21 19:27:36 -0700,completed,android,Chrome 53.0.2785.124,tr.im,android-app,tr.im/diversity,link_click,,Developer,,,,Technical Lead,,,,,,,I am a formal manager,11 - 15,20 - 50 employees,,Digital Agency,,,,,US,,,Urban,Completed college,Yes,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Lower middle class,Upper class,English,,,,,,,,,,Strongly agree,Agree,Strongly agree,,10
2016-10-21 20:13:18 -0700,2016-10-21 20:16:03 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,Technical/Solutions Architect,Technical Lead,,QA/Testing,Product Manager/Owner,,,,"I am not a manager, though I do hold a leadership role",11 - 15,50 - 100 employees,Web Agency / Development Shop,,,,Freelancer,,US,,,Urban,Completed college,Yes,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,,,,,,,,,Agree,Agree,Agree,,3
2016-10-21 21:26:20 -0700,2016-10-21 21:28:51 -0700,completed,linux,Chrome 54.0.2840.71,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,Technical/Solutions Architect,Technical Lead,,,Product Manager/Owner,,,,My role does not involve leadership or management,6 - 10,10 - 20 employees,Web Agency / Development Shop,,,,,,US,,,Rural,Completed college,No,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Female,No,Working class,Lower middle class,English,,,,,,,,,,Strongly agree,Strongly agree,Agree,,7
2016-10-22 02:22:55 -0700,2016-10-22 02:30:36 -0700,completed,android,Chrome 53.0.2785.124,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,,,,,,,,,"I am not a manager, though I do hold a leadership role",6 - 10,20 - 50 employees,Web Agency / Development Shop,,,,,,DE,,,Urban,Completed master's degree,No,25-34,,,,,,No,,,,,,,,,,,Yes,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,,,,,,,,,,German,Neutral,Neutral,Strongly agree,,6
2016-10-22 08:30:29 -0700,2016-10-22 08:36:40 -0700,completed,mac,Safari 10.0,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,,,,,,,,,"I am not a manager, though I do hold a leadership role",6 - 10,20 - 50 employees,Web Agency / Development Shop,,,,,,US,,,Suburban,Some college/technical training,,35-44,,,,,,No,,,,,,,,,,,Yes,,,Latino,,,White,,,,,,,,Straight,,,No,Female,No,Lower middle class,Lower middle class,English,,,,,,,,,,Neutral,Neutral,Agree,,10
2016-10-22 11:16:34 -0700,2016-10-22 11:31:07 -0700,completed,mac,Chrome 54.0.2840.71,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,Designer,UX/UI,,,,,,,,,My role does not involve leadership or management,6 - 10,200+ employees,,,,Non-agency organization,,Elementary School District,US,,,Suburban,Completed college,Yes,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,"Politically Progressive, Apple advocate, open-source advocate, design centric and usability focused",10
2016-10-22 11:42:32 -0700,2016-10-22 11:49:21 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,,,Content Developer/Strategist,,Product Manager/Owner,,,,I am a formal manager,16 - 20,100 - 200 employees,,,,,,"Services provider (e.g hosting, agency tools)",US,,,Urban,Completed college,No,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,Spanish,,,Japanese,,,,,Agree,Neutral,Strongly agree,"World citizen. While I'm a part of a white/male majority in the US, I have lived and worked in countries where I have been an obvious minority. This has shaped my perspectives on many things, including diversity and inclusion.",10
2016-10-22 11:48:47 -0700,2016-10-22 15:36:26 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,UX/UI,,Technical Lead,,,,,,,"I am not a manager, though I do hold a leadership role",11 - 15,200+ employees,,,,Non-agency organization,,,US,,,Rural,Completed master's degree,Yes,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Female,No,Lower middle class,Lower middle class,English,,,,,,,,,,Agree,Agree,Strongly agree,,8
2016-10-22 11:51:50 -0700,2016-10-22 12:00:26 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,,,,,,,,,My role does not involve leadership or management,0 - 1,Under 10 employees,,,,,Freelancer,,US,,,Urban,Completed college,No,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,Queer,Straight,,,No,Female,No,Upper middle class,Upper middle class,English,,,,,,,,,,Agree,Agree,Neutral,I am ethnically Jewish and observe some Jewish customs despite not being religious (I'm atheist). Taking part in Jewish community events is important to me.,8
2016-10-22 13:22:52 -0700,2016-10-22 13:26:51 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,,Technical Lead,,,,,,,"I am not a manager, though I do hold a leadership role",11 - 15,200+ employees,,,,,,Government,US,,,Urban,Completed master's degree,No,45-54,,,,,,No,,,,,,,,,,,No,Asian,,,,,,,,,,,,,Straight,,,No,Male,No,Lower middle class,Upper middle class,English,,,,,,,,,,Neutral,Neutral,Neutral,Nothing else.,8
2016-10-22 14:20:12 -0700,2016-10-22 14:33:03 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,,,,,,,,,Operations Engineer,,,My role does not involve leadership or management,11 - 15,50 - 100 employees,Web Agency / Development Shop,,,,,,US,,,Urban,Completed college,Yes,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,Queer,,,,No,Female,No,Lower middle class,Upper middle class,English,,,,,,,,,,Neutral,Neutral,Strongly agree,Immigration status -- I am an immigrant.,5
2016-10-22 15:31:36 -0700,2016-10-22 15:35:05 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,Technical/Solutions Architect,Technical Lead,,,,,,,I am a formal manager,20+,Under 10 employees,,,,Non-agency organization,,,US,,,Urban,Some college/technical training,,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,,,,,,,,,Agree,Agree,Neutral,,5
